"No.","Time","Source","Destination","Protocol","Length","Info"
"71","4.560448","192.168.100.9","142.250.181.138","UDP","71","57065  >  443 Len=29"
"72","4.966272","142.250.181.138","192.168.100.9","UDP","63","443  >  57065 Len=21"
"73","4.966272","142.250.181.138","192.168.100.9","UDP","63","443  >  57065 Len=21"
"74","4.966411","142.250.181.138","192.168.100.9","UDP","67","443  >  57065 Len=25"
"75","4.966411","20.195.84.16","192.168.100.9","TLSv1.2","81","Application Data"
"76","4.966598","192.168.100.9","142.250.181.138","UDP","78","57065  >  443 Len=36"
"77","4.966756","192.168.100.9","142.250.181.138","UDP","80","57065  >  443 Len=38"
"78","5.020148","192.168.100.9","20.195.84.16","TCP","54","58635  >  443 [ACK] Seq=32 Ack=28 Win=254 Len=0"
"79","5.308844","172.64.155.209","192.168.100.9","TLSv1.2","130","Application Data"
"80","5.318985","192.168.100.9","172.64.155.209","TLSv1.2","89","Application Data"
"81","5.319204","192.168.100.9","172.64.155.209","TLSv1.2","89","Application Data"
"82","5.515050","172.64.155.209","192.168.100.9","TCP","130","[TCP Spurious Retransmission] 443  >  59883 [PSH, ACK] Seq=1 Ack=1 Win=109 Len=76"
"83","5.515085","192.168.100.9","172.64.155.209","TCP","66","[TCP Dup ACK 80#1] 59883  >  443 [ACK] Seq=71 Ack=77 Win=252 Len=0 SLE=1 SRE=77"
"84","5.572360","192.168.100.9","172.64.155.209","TCP","124","[TCP Retransmission] 59883  >  443 [PSH, ACK] Seq=1 Ack=77 Win=252 Len=70"
"85","5.588293","192.168.100.9","108.156.2.50","TCP","55","60230  >  443 [ACK] Seq=1 Ack=1 Win=16383 Len=1"
"86","5.599318","172.64.155.209","192.168.100.9","TCP","60","443  >  59883 [ACK] Seq=77 Ack=71 Win=109 Len=0"
"87","5.721980","192.168.100.9","172.217.19.238","UDP","546","62135  >  443 Len=504"
"88","5.729432","108.156.2.50","192.168.100.9","TCP","66","443  >  60230 [ACK] Seq=1 Ack=2 Win=145 Len=0 SLE=1 SRE=2"
"89","5.769089","172.217.19.238","192.168.100.9","UDP","75","443  >  62135 Len=33"
"90","5.793921","192.168.100.9","172.217.19.238","UDP","76","62135  >  443 Len=34"
"91","5.984705","192.168.100.9","172.217.19.238","UDP","71","62135  >  443 Len=29"
"92","6.031042","172.217.19.238","192.168.100.9","UDP","68","443  >  62135 Len=26"
"93","6.112234","172.217.19.238","192.168.100.9","UDP","1143","443  >  62135 Len=1101"
"94","6.112234","172.217.19.238","192.168.100.9","UDP","208","443  >  62135 Len=166"
"95","6.119891","192.168.100.9","142.250.181.110","UDP","661","51539  >  443 Len=619"
"96","6.125939","192.168.100.9","172.217.19.238","UDP","83","62135  >  443 Len=41"
"97","6.204544","192.168.100.9","142.250.181.110","UDP","661","51539  >  443 Len=619"
"98","6.204663","192.168.100.9","172.217.19.238","UDP","76","62135  >  443 Len=34"
"99","6.212583","172.217.19.238","192.168.100.9","UDP","1143","443  >  62135 Len=1101"
"100","6.212583","172.217.19.238","192.168.100.9","UDP","68","443  >  62135 Len=26"
"101","6.212838","192.168.100.9","172.217.19.238","UDP","77","62135  >  443 Len=35"
"102","6.257730","142.250.181.110","192.168.100.9","UDP","75","443  >  51539 Len=33"
"103","6.283232","192.168.100.9","142.250.181.110","UDP","75","51539  >  443 Len=33"
"104","6.315189","192.168.100.9","172.217.19.238","UDP","71","62135  >  443 Len=29"
"105","6.327695","172.217.19.238","192.168.100.9","UDP","63","443  >  62135 Len=21"
"106","6.327695","172.217.19.238","192.168.100.9","UDP","69","443  >  62135 Len=27"
"107","6.327960","192.168.100.9","172.217.19.238","UDP","79","62135  >  443 Len=37"
"108","6.330271","142.250.181.110","192.168.100.9","UDP","69","443  >  51539 Len=27"
"109","6.330271","142.250.181.110","192.168.100.9","UDP","68","443  >  51539 Len=26"
"110","6.330565","192.168.100.9","142.250.181.110","UDP","76","51539  >  443 Len=34"
"111","6.352470","172.217.19.238","192.168.100.9","UDP","63","443  >  62135 Len=21"
"112","6.352725","192.168.100.9","172.217.19.238","UDP","81","62135  >  443 Len=39"
"113","6.457957","192.168.100.9","172.217.19.238","UDP","71","62135  >  443 Len=29"
"114","6.534642","172.217.19.238","192.168.100.9","UDP","71","443  >  62135 Len=29"
"115","6.534983","192.168.100.9","142.250.181.110","UDP","71","51539  >  443 Len=29"
"116","6.546926","172.217.17.42","192.168.100.9","UDP","203","443  >  55741 Len=161"
"117","6.557201","142.250.181.110","192.168.100.9","UDP","560","443  >  51539 Len=518"
"118","6.557201","142.250.181.110","192.168.100.9","UDP","65","443  >  51539 Len=23"
"119","6.557598","192.168.100.9","142.250.181.110","UDP","83","51539  >  443 Len=41"
"120","6.557706","192.168.100.9","142.250.181.110","UDP","76","51539  >  443 Len=34"
"121","6.557840","192.168.100.9","172.217.17.42","UDP","75","55741  >  443 Len=33"
"122","6.568515","192.168.100.9","142.250.181.138","UDP","71","57065  >  443 Len=29"
"123","6.626370","142.250.181.110","192.168.100.9","UDP","68","443  >  51539 Len=26"
"124","6.626370","142.250.181.110","192.168.100.9","UDP","68","443  >  51539 Len=26"
"125","6.730107","192.168.100.9","142.250.181.99","QUIC","1292","Initial, DCID=c7315c5c3c1f17e6, PKN: 1, PADDING, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PING, PADDING, CRYPTO, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PADDING, PING, PADDING, PING"
"126","6.730238","192.168.100.9","142.250.181.99","QUIC","1292","Initial, DCID=c7315c5c3c1f17e6, PKN: 2, CRYPTO"
"127","6.730309","192.168.100.9","142.250.181.99","QUIC","1292","Initial, DCID=c7315c5c3c1f17e6, PKN: 3, PADDING, PING, PADDING, CRYPTO, CRYPTO, PING, PING, CRYPTO, PADDING, PING, PING, PADDING"
"128","6.730713","192.168.100.9","142.250.181.99","QUIC","122","0-RTT, DCID=c7315c5c3c1f17e6"
"129","6.732447","192.168.100.9","142.250.181.99","QUIC","590","0-RTT, DCID=c7315c5c3c1f17e6"
"130","6.733224","192.168.100.9","172.217.19.238","UDP","543","62135  >  443 Len=501"
"131","6.744913","142.250.181.138","192.168.100.9","UDP","67","443  >  57065 Len=25"
"132","6.758482","192.168.100.9","172.217.17.42","UDP","71","55741  >  443 Len=29"
"133","6.830303","172.217.19.238","192.168.100.9","UDP","78","443  >  62135 Len=36"
"134","6.830303","172.217.17.42","192.168.100.9","UDP","67","443  >  55741 Len=25"
"135","6.830701","192.168.100.9","172.217.19.238","UDP","77","62135  >  443 Len=35"
"136","6.832580","142.250.181.99","192.168.100.9","QUIC","82","Initial, SCID=e7315c5c3c1f17e6, PKN: 1, ACK"
"137","6.832580","142.250.181.99","192.168.100.9","QUIC","82","Initial, SCID=e7315c5c3c1f17e6, PKN: 2, ACK"
"138","6.833174","142.250.181.99","192.168.100.9","QUIC","1292","Initial, SCID=e7315c5c3c1f17e6, PKN: 3, ACK, PADDING"
"139","6.833174","142.250.181.99","192.168.100.9","QUIC","1292","Initial, SCID=e7315c5c3c1f17e6, PKN: 4, ACK, PADDING"
"140","6.916121","192.168.100.9","142.250.181.99","QUIC","1292","Initial, DCID=e7315c5c3c1f17e6, PKN: 7, PADDING, PING, PADDING"
"141","6.952999","142.250.181.99","192.168.100.9","QUIC","1292","Initial, SCID=e7315c5c3c1f17e6, PKN: 5, CRYPTO, PADDING"
"142","6.952999","142.250.181.99","192.168.100.9","QUIC","341","Protected Payload (KP0)"
"143","6.953226","142.250.181.99","192.168.100.9","QUIC","986","Protected Payload (KP0)"
"144","6.953226","142.250.181.99","192.168.100.9","QUIC","67","Protected Payload (KP0)"
"145","6.953226","142.250.181.99","192.168.100.9","QUIC","64","Protected Payload (KP0)"
"146","6.953724","192.168.100.9","142.250.181.99","QUIC","120","Handshake, DCID=e7315c5c3c1f17e6"
"147","6.953873","192.168.100.9","142.250.181.99","QUIC","73","Protected Payload (KP0), DCID=e7315c5c3c1f17e6"
"148","6.954095","192.168.100.9","172.217.19.174","UDP","71","54630  >  443 Len=29"
"149","6.979523","192.168.100.9","142.250.181.99","QUIC","74","Protected Payload (KP0), DCID=e7315c5c3c1f17e6"
"150","6.988225","142.250.181.99","192.168.100.9","QUIC","1292","Initial, SCID=e7315c5c3c1f17e6, PKN: 11, ACK, CRYPTO, PADDING"
"151","6.993399","142.250.181.99","192.168.100.9","QUIC","162","Protected Payload (KP0)"
"152","6.993577","172.217.19.174","192.168.100.9","UDP","69","443  >  54630 Len=27"
"153","6.993681","192.168.100.9","142.250.181.99","QUIC","75","Protected Payload (KP0), DCID=e7315c5c3c1f17e6"
"154","7.025391","142.250.181.99","192.168.100.9","QUIC","559","Protected Payload (KP0)"
"155","7.025731","142.250.181.99","192.168.100.9","QUIC","64","Protected Payload (KP0)"
"156","7.025774","192.168.100.9","142.250.181.99","QUIC","79","Protected Payload (KP0), DCID=e7315c5c3c1f17e6"
"157","7.025904","192.168.100.9","142.250.181.99","QUIC","75","Protected Payload (KP0), DCID=e7315c5c3c1f17e6"
"158","7.042774","192.168.100.9","172.217.17.42","UDP","71","55741  >  443 Len=29"
"159","7.042927","192.168.100.9","172.217.19.238","UDP","71","62135  >  443 Len=29"
"160","7.137607","192.168.100.9","172.217.17.42","UDP","71","55741  >  443 Len=29"
"161","7.200929","192.168.100.9","172.217.19.238","UDP","71","62135  >  443 Len=29"
"162","7.201071","192.168.100.9","142.250.181.99","QUIC","72","Protected Payload (KP0), DCID=e7315c5c3c1f17e6"
"163","7.327348","192.168.100.9","172.217.17.42","UDP","71","55741  >  443 Len=29"
"164","7.406987","192.168.100.9","172.217.17.42","UDP","1292","51134  >  443 Len=1250"
"165","7.419786","172.217.19.238","192.168.100.9","UDP","1142","443  >  62135 Len=1100"
"166","7.419786","172.217.19.238","192.168.100.9","UDP","188","443  >  62135 Len=146"
"167","7.419786","172.217.19.238","192.168.100.9","UDP","68","443  >  62135 Len=26"
"168","7.419786","172.217.17.42","192.168.100.9","UDP","67","443  >  55741 Len=25"
"169","7.419786","172.217.17.42","192.168.100.9","UDP","68","443  >  55741 Len=26"
"170","7.419786","172.217.19.238","192.168.100.9","UDP","69","443  >  62135 Len=27"
"171","7.419786","172.217.19.238","192.168.100.9","UDP","1142","443  >  62135 Len=1100"
"172","7.419786","172.217.17.42","192.168.100.9","UDP","70","443  >  55741 Len=28"
"173","7.420371","192.168.100.9","172.217.19.238","UDP","84","62135  >  443 Len=42"
"174","7.420511","192.168.100.9","172.217.19.238","UDP","77","62135  >  443 Len=35"
"175","7.420611","192.168.100.9","172.217.19.238","UDP","77","62135  >  443 Len=35"
"176","7.423590","142.250.181.99","192.168.100.9","QUIC","68","Protected Payload (KP0)"
"177","7.423590","142.250.181.99","192.168.100.9","QUIC","69","Protected Payload (KP0)"
"178","7.428070","192.168.100.9","142.250.181.110","UDP","785","51539  >  443 Len=743"
"179","7.579322","192.168.100.9","142.250.181.110","UDP","785","51539  >  443 Len=743"
"180","7.625986","172.217.17.42","192.168.100.9","UDP","70","443  >  55741 Len=28"
"181","7.625986","172.217.19.238","192.168.100.9","UDP","69","443  >  62135 Len=27"
"182","7.626170","172.217.17.42","192.168.100.9","UDP","1292","443  >  51134 Len=1250"
"183","7.626491","192.168.100.9","172.217.17.42","UDP","71","55741  >  443 Len=29"
"184","7.626832","192.168.100.9","172.217.17.42","UDP","75","51134  >  443 Len=33"
"185","7.627354","192.168.100.9","172.217.17.42","UDP","71","51134  >  443 Len=29"
"186","7.628530","142.250.181.110","192.168.100.9","UDP","75","443  >  51539 Len=33"
"187","7.628530","142.250.181.110","192.168.100.9","UDP","69","443  >  51539 Len=27"
"188","7.642702","192.168.100.9","142.250.181.110","UDP","75","51539  >  443 Len=33"
"189","7.763626","172.217.17.42","192.168.100.9","UDP","70","443  >  55741 Len=28"
"190","7.763626","172.217.17.42","192.168.100.9","UDP","100","443  >  51134 Len=58"
"191","7.763626","172.217.17.42","192.168.100.9","UDP","66","443  >  51134 Len=24"
"192","7.763923","192.168.100.9","172.217.17.42","UDP","76","51134  >  443 Len=34"
"193","7.764129","192.168.100.9","172.217.17.42","UDP","74","51134  >  443 Len=32"
"194","7.768645","142.250.181.110","192.168.100.9","UDP","559","443  >  51539 Len=517"
"195","7.768645","142.250.181.110","192.168.100.9","UDP","65","443  >  51539 Len=23"
"196","7.769913","172.64.155.209","192.168.100.9","TLSv1.2","130","Application Data"
"197","7.784140","192.168.100.9","142.250.181.110","UDP","82","51539  >  443 Len=40"
"198","7.784332","192.168.100.9","172.64.155.209","TLSv1.2","89","Application Data"
"199","7.902542","172.64.155.209","192.168.100.9","TCP","60","443  >  59883 [ACK] Seq=153 Ack=106 Win=109 Len=0"
"200","7.902542","142.250.181.110","192.168.100.9","UDP","68","443  >  51539 Len=26"
"201","7.973202","192.168.100.9","172.217.17.42","UDP","71","51134  >  443 Len=29"
"202","8.274346","192.168.100.9","172.217.17.42","UDP","71","51134  >  443 Len=29"
"203","8.860168","192.168.100.9","172.217.17.42","UDP","71","51134  >  443 Len=29"
"204","8.876161","192.168.100.9","20.195.84.16","TLSv1.2","82","Application Data"
"205","8.992392","172.217.17.42","192.168.100.9","UDP","67","443  >  51134 Len=25"
"206","8.992392","172.217.17.42","192.168.100.9","UDP","68","443  >  51134 Len=26"
"207","8.992392","172.217.17.42","192.168.100.9","UDP","70","443  >  51134 Len=28"
"208","8.996668","20.195.84.23","192.168.100.9","TLSv1.2","81","Application Data"
"209","8.996668","20.195.84.16","192.168.100.9","TCP","60","443  >  58635 [ACK] Seq=28 Ack=60 Win=501 Len=0"
"210","9.050211","192.168.100.9","20.195.84.23","TLSv1.2","82","Application Data"
"211","9.132994","20.195.84.23","192.168.100.9","TCP","81","[TCP Spurious Retransmission] 443  >  58636 [PSH, ACK] Seq=1 Ack=1 Win=501 Len=27"
"212","9.133054","192.168.100.9","20.195.84.23","TCP","66","[TCP Dup ACK 210#1] 58636  >  443 [ACK] Seq=29 Ack=28 Win=254 Len=0 SLE=1 SRE=28"
"213","9.201211","20.195.84.23","192.168.100.9","TCP","60","443  >  58636 [ACK] Seq=28 Ack=29 Win=501 Len=0"
"214","9.208212","192.168.100.9","172.217.17.42","UDP","71","51134  >  443 Len=29"
"215","9.337352","172.217.17.42","192.168.100.9","UDP","70","443  >  51134 Len=28"
"216","9.339558","192.168.100.35","224.0.0.251","MDNS","159","Standard query response 0x0000 PTR, cache flush Android.local A, cache flush 192.168.100.35 NSEC, cache flush 35.100.168.192.in-addr.arpa NSEC, cache flush Android.local"
"217","9.541668","192.168.100.9","172.217.17.42","UDP","71","51134  >  443 Len=29"
"218","9.606096","192.168.100.9","192.168.100.1","DNS","74","Standard query 0x2427 A api2.cursor.sh"
"219","9.612783","172.217.17.42","192.168.100.9","UDP","70","443  >  51134 Len=28"
"220","9.621536","192.168.100.1","192.168.100.9","DNS","405","Standard query response 0x2427 A api2.cursor.sh A 52.205.234.202 A 52.5.205.230 A 3.225.21.11 A 52.200.76.206 A 18.208.18.15 A 18.213.199.177 A 34.198.242.163 A 52.20.111.65 NS ns-1554.awsdns-02.co.uk NS ns-70.awsdns-08.com NS ns-1143.awsdns-14.org NS ns-896.awsdns-48.net A 205.251.192.70 A 205.251.195.128 A 205.251.196.119 A 205.251.198.18"
"221","9.622695","192.168.100.9","52.205.234.202","TCP","66","60266  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"222","9.850837","52.205.234.202","192.168.100.9","TCP","66","443  >  60266 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1412 SACK_PERM WS=256"
"223","9.851010","192.168.100.9","52.205.234.202","TCP","54","60266  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"224","9.851593","192.168.100.9","52.205.234.202","TLSv1.3","571","Client Hello (SNI=api2.cursor.sh)"
"225","9.951952","192.168.100.9","142.250.181.138","UDP","71","57065  >  443 Len=29"
"226","10.002030","142.250.181.138","192.168.100.9","UDP","67","443  >  57065 Len=25"
"227","10.015462","192.168.100.9","172.217.17.42","UDP","71","51134  >  443 Len=29"
"228","10.054935","172.217.17.42","192.168.100.9","UDP","70","443  >  51134 Len=28"
"229","10.079941","52.205.234.202","192.168.100.9","TCP","54","443  >  60266 [ACK] Seq=1 Ack=518 Win=28160 Len=0"
"230","10.079941","52.205.234.202","192.168.100.9","TLSv1.3","4290","Server Hello, Change Cipher Spec, Application Data, Application Data"
"231","10.079941","52.205.234.202","192.168.100.9","TLSv1.3","201","Application Data, Application Data"
"232","10.080146","192.168.100.9","52.205.234.202","TCP","54","60266  >  443 [ACK] Seq=518 Ack=4384 Win=65280 Len=0"
"233","10.083063","192.168.100.9","52.205.234.202","TLSv1.3","1436","Change Cipher Spec, Application Data, Application Data"
"234","10.311074","52.205.234.202","192.168.100.9","TCP","60","443  >  60266 [ACK] Seq=4384 Ack=1900 Win=30720 Len=0"
"235","10.311120","192.168.100.9","52.205.234.202","TLSv1.3","81","Application Data"
"236","10.311460","52.205.234.202","192.168.100.9","TLSv1.3","233","Application Data"
"237","10.363621","192.168.100.9","52.205.234.202","TCP","54","60266  >  443 [ACK] Seq=1927 Ack=4563 Win=65280 Len=0"
"238","10.557637","52.205.234.202","192.168.100.9","TLSv1.3","449","Application Data"
"239","10.557637","52.205.234.202","192.168.100.9","TCP","54","443  >  60266 [FIN, ACK] Seq=4958 Ack=1927 Win=30720 Len=0"
"240","10.557766","192.168.100.9","52.205.234.202","TCP","54","60266  >  443 [ACK] Seq=1927 Ack=4959 Win=64768 Len=0"
"241","10.558472","192.168.100.9","52.205.234.202","TLSv1.3","78","Application Data"
"242","10.559285","192.168.100.9","52.205.234.202","TCP","54","60266  >  443 [FIN, ACK] Seq=1951 Ack=4959 Win=64768 Len=0"
"243","10.563110","192.168.100.9","3.225.21.11","TLSv1.2","168","Application Data"
"244","10.563227","192.168.100.9","3.225.21.11","TLSv1.2","93","Application Data"
"245","10.760011","192.168.100.9","13.107.246.63","TCP","55","60190  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"246","10.786998","52.205.234.202","192.168.100.9","TCP","60","443  >  60266 [ACK] Seq=4959 Ack=1952 Win=30464 Len=0"
"247","10.793102","3.225.21.11","192.168.100.9","TCP","60","443  >  60187 [ACK] Seq=1 Ack=115 Win=209 Len=0"
"248","10.793102","3.225.21.11","192.168.100.9","TCP","60","443  >  60187 [ACK] Seq=1 Ack=154 Win=209 Len=0"
"249","10.793102","3.225.21.11","192.168.100.9","TLSv1.2","93","Application Data"
"250","10.803160","3.225.21.11","192.168.100.9","TLSv1.2","417","Application Data"
"251","10.803160","3.225.21.11","192.168.100.9","TLSv1.2","85","Application Data"
"252","10.803257","192.168.100.9","3.225.21.11","TCP","54","60187  >  443 [ACK] Seq=154 Ack=434 Win=255 Len=0"
"253","10.804808","192.168.100.9","3.225.21.11","TLSv1.2","89","Application Data"
"254","10.812452","13.107.246.63","192.168.100.9","TCP","66","443  >  60190 [ACK] Seq=1 Ack=2 Win=83 Len=0 SLE=1 SRE=2"
"255","10.870350","192.168.100.9","172.217.17.42","UDP","71","51134  >  443 Len=29"
"256","10.920217","172.217.17.42","192.168.100.9","UDP","71","443  >  51134 Len=29"
"257","11.076849","3.225.21.11","192.168.100.9","TCP","60","443  >  60187 [ACK] Seq=434 Ack=189 Win=209 Len=0"
"258","11.186074","192.168.100.9","20.195.84.23","TLSv1.2","85","Application Data"
"259","11.315146","20.195.84.23","192.168.100.9","TCP","60","443  >  58636 [ACK] Seq=28 Ack=60 Win=501 Len=0"
"260","12.303890","192.168.100.9","172.217.17.69","TCP","55","60069  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1 [TCP PDU reassembled in 2289]"
"261","12.344166","192.168.100.35","224.0.0.251","MDNS","103","Standard query 0x0054 PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"262","12.344166","172.217.17.69","192.168.100.9","TCP","66","443  >  60069 [ACK] Seq=1 Ack=2 Win=1050 Len=0 SLE=1 SRE=2"
"263","12.525559","192.168.100.9","172.217.17.42","UDP","71","51134  >  443 Len=29"
"264","13.159865","192.168.100.9","172.217.17.42","UDP","71","51134  >  443 Len=29"
"265","13.202394","172.217.17.42","192.168.100.9","UDP","72","443  >  51134 Len=30"
"266","13.366322","192.168.100.9","44.208.12.235","TCP","55","60255  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1"
"267","13.398231","192.168.100.9","172.217.19.174","UDP","71","54630  >  443 Len=29"
"268","13.430159","192.168.100.9","104.26.8.156","TCP","55","60192  >  443 [ACK] Seq=1 Ack=1 Win=8188 Len=1"
"269","13.448518","172.217.19.174","192.168.100.9","UDP","69","443  >  54630 Len=27"
"270","13.474946","104.26.8.156","192.168.100.9","TCP","66","443  >  60192 [ACK] Seq=1 Ack=2 Win=11 Len=0 SLE=1 SRE=2"
"271","13.599806","44.208.12.235","192.168.100.9","TCP","66","443  >  60255 [ACK] Seq=1 Ack=2 Win=176 Len=0 SLE=1 SRE=2"
"272","14.488333","192.168.100.9","192.168.100.1","DNS","74","Standard query 0x9015 A assets.msn.com"
